province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,rdna_affected,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_most_adequate_count,14
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_adequate_count,254
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_moderate_count,202
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_inadequate_count,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_least_adequate_count,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_most_adequate_pc,2.96
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_adequate_pc,53.7
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_moderate_pc,42.71
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_inadequate_pc,0.63
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,house_quality_least_adequate_pc,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,demographics,NA,total_households,504
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,home_ownership_owned,502
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,home_ownership_rented,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,home_ownership_institutional,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,home_ownership_other,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,foundation_mud,484
