province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,affected,theme,disaggregation,variable,value
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_10_14,67
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_15_19,131
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_15_19,68
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_15_19,63
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_20_24,143
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_20_24,65
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_20_24,78
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_25_29,178
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_25_29,79
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_25_29,99
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_30_34,189
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_30_34,80
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_30_34,109
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_35_39,151
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_35_39,67
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_35_39,84
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_40_44,131
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_40_44,64
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_40_44,67
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_45_49,109
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_45_49,50
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_45_49,59
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_50_54,101
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_50_54,52
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_50_54,49
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_55_59,90
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_55_59,47
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_55_59,43
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_60_64,99
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_60_64,51
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_60_64,48
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_65_69,88
